Id	Control	Uid	Category	Original	Translated
1312	edgefinderintcontrol	str_edgeIntFinderInstructions	None	Click edge, corner or center in image above to select probing action.\\nMove the probe to above the position indicated by green dot before start.	單擊上圖中的邊緣、角點或中心來選擇探測動作。\\n開始前將探頭移動到綠點指示的位置上方。
1297	edgefindercontrol	str_EdgeFinderInstructions	None	Click edge, corner or center in image above to select probing action.\\nMove the probe to above the position indicated by green dot before start.	單擊上圖中的邊緣、角點或中心來選擇探測動作。\\n開始前將探頭移動到綠點指示的位置上方。
1086	edgefinderintcontrol	grd_action	ToolTip	Click edge, corner or center to select probing action.	單擊邊緣、角或中心來選擇探測操作。
1085	edgefindercontrol	grd_action	ToolTip	Click edge, corner or center to select probing action.	單擊邊緣、角或中心來選擇探測操作。
1606	macrodialog	btn_actionMenu	ToolTip	Click for actions menu.	Click for actions menu.
1296	centerfindercontrol	str_CenterFinderInstructions	None	Click image above to select probing action.\\nPlace the probe above the approximate center of the workpiece before start.	單擊上圖選擇探測動作。\\n開始前將探頭放置在工件大致中心上方。
1064	probingview	btn_jog	Button	Click to activate keyboard jogging	單擊以激活鍵盤慢跑
1087	centerfindercontrol	grd_action	ToolTip	Click to select probing action.	單擊以選擇探測操作。
1101	rotationcontrol	grp_RotationCenter	ToolTip	Click to select rotation center relative to job, if not selected X0,Y0 is used.	單擊選擇相對於作業的旋轉中心，如果不選擇X0，則使用Y0。
977	gcoderotatedialog	grp_rotationCenter	ToolTip	Click to select rotation center relative to job, if not selected X0,Y0 is used.	單擊選擇相對於工件的旋轉中心，如果不選擇X0，則使用Y0。
1607	macrodialog	btn_close	Button	Close	關閉
1556	grblerrorlist	hdr_errorCode	None	Code	代碼
1554	grblalarmlist	hdr_alarmCode	None	Code	G代碼
1417	libstrings	str_gcParserCmdUnknown	None	Command word not recognized	命令字無法識別
1446	libstrings	str_gcParserWordRepeated	None	Command word repeated	命令字重複
1621	macrodialog	txt_postprobecommands	ToolTip	Commands to after before probing completes.	Commands to after before probing completes.
1622	macrodialog	txt_preprobecommands	ToolTip	Commands to run before probing starts.	Commands to run before probing starts.
1379	mainwindow	str_mnuCompress	None	Compress (experimental)	壓縮（實驗）
1509	renderer	str_toolCone	None	Cone	錐體
1386	libstrings	str_appconfCreate	None	Config file not found or invalid, create new?	配置文件未找到或無效，是否創建新的？
997	trinamicview	lbl_configure	Button	Configure	配置
1516	macroeditor	chk_confirm	CheckBox	Confirm before executing	執行前確認
1568	configcontrol	chk_confirmMove	CheckBox	Confirm move	確認移動
1249	jobview	tab_console	Label	Console	控制檯
1562	errorsandalarms	wnd_errorsAndAlarms	Title	Controller error and alarm codes	控制器錯誤和警報代碼
1545	jobview	str_msgNoComm	None	Controller is in {0} state and cannot respond, try a soft reset?	控制器處於 {0} 狀態且無法響應，是否嘗試軟重置？
1523	libstrings	str_msgNoComm	None	Controller is in {0} state and cannot respond, try a soft reset?	控制器處於 {0} 狀態且無法響應，是否嘗試軟重置？
1524	libstrings	str_msgNoCommAlarm	None	Controller is not able to communicate due to alarm {0}, attempting a soft reset.	由於警報 {0}，控制器無法通信，正在嘗試軟重置。
1546	jobview	str_msgNoCommAlarm	None	Controller is not able to communicate due to alarm {0}, attempting a soft reset.	由於警報 {0}，控制器無法通信，正在嘗試軟重置。
1547	jobview	str_msgNoResponse	None	Controller is not responding!	控制器沒有響應！
1525	libstrings	str_msgNoResponse	None	Controller is not responding!	控制器沒有響應！
1526	libstrings	str_msgResetExit	None	Controller soft reset failed, exiting.	控制器軟重置失敗，正在退出。
1527	libstrings	str_msgResetFailed	None	Controller soft reset failed, exiting.	控制器軟重置失敗，正在退出。
1548	jobview	str_msgResetExit	None	Controller soft reset failed, exiting.	控制器軟重置失敗，正在退出。
1549	jobview	str_msgResetFailed	None	Controller soft reset failed, exiting.	控制器軟重置失敗，正在退出。
967	coolantcontrol	grp_coolant	Label	Coolant	冷卻液
951	about	btn_toClipboard	ToolTip	Copy grbl version information and settings to clipboard	將 grbl 版本信息和設置複製到剪貼板
1596	gcodelistcontrol	mnu_copyToMDI	Menu	Copy to MDI	複製到 MDI
1387	libstrings	str_appconfCreateFail	None	Could not save config file.	無法保存配置文件。
1510	renderer	str_toolCrosshair	None	Crosshair	十字線
930	statuscontrol	btn_home	ToolTip	Ctrl+H	Ctrl+H
1065	probingview	btn_jog	ToolTip	Ctrl+Shift to activate	Ctrl+Shift 激活
938	statuscontrol	btn_reset	ToolTip	Ctrl+Shift+R	Ctrl+Shift+R
953	statuscontrol	btn_unlock	ToolTip	Ctrl+U	Ctrl+U
1146	configcontrol	lbl_cutColor	Label	Cut color:	切割顏色：
1240	jobparametersdialog	fld_cutDepth	None	Cut depth:	銑削深度：
1196	dragknifedialog	fld_cutDepth	None	Cut depth:	銑削深度：
998	spindlecontrol	lbl_cw	RadioButton	CW	正轉
919	jobcontrol	btn_cycleStart	Button	Cycle Start	開始加工
1257	signalscontrol	lbl_signalCycleStart	ToolTip	Cycle start	開始加工
1470	sdcardview	mnu_downloadRun	Menu	D_ownload and run	下載並運行
1586	libstrings	str_themeDark	None	Dark	暗黑
983	gcodelistcontrol	hdr_data	None	Data	數據
1587	libstrings	str_themeDefault	None	Default	預設
1514	configcontrol	fld_toolDiameter	ToolTip	Default tool diameter.	預設刀具直徑。
1267	dragknifedialog	fld_retractAngle	None	deg	角度
1269	dragknifedialog	fld_swivelAngle	None	deg	角度
962	gcoderotatedialog	fld_angle	None	degrees	度
965	basicconfigcontrol	fld_resetDelay	ToolTip	Delay to allow controller to finish booting before communication starts.	延遲，以便控制器在通訊開始前完成啟動。 
1133	probingview	mnu_delete	Menu	Delete	刪除
1039	sdcardview	mnu_delete	Menu	Delete	刪除
1618	macrodialog	mnu_delete	Menu	Delete	Delete
1330	sdcardview	str_deleteFile	None	Delete {0}?	刪除{0}？
1197	dragknifedialog	fld_dentLength	None	Dent length:	凹痕長度:
1202	probingview	fld_depth	None	Depth:	深度：
1591	rotationcontrol	lbl_addOffset	CheckBox	Determine X0,Y0 for right angled workpiece	確定直角工件的X0,Y0
1537	gcodewrapdialog	fld_diameter	None	Diameter:	直徑：
1203	probingview	fld_diameter	None	Diameter:	直徑：
1204	rotationcontrol	fld_distance	None	Distance	距離
1480	jogbasecontrol	grp_jogDistance	Label	Distance	距離
1232	joguiconfigcontrol	lbl_distance0	None	Distance 0:	距離 0:
1233	joguiconfigcontrol	lbl_distance1	None	Distance 1:	距離 1:
1234	joguiconfigcontrol	lbl_distance2	None	Distance 2:	距離 2：
1235	joguiconfigcontrol	lbl_distance3	None	Distance 3:	距離 3：
1167	mainwindow	lbl_jogStep	ToolTip	Distance for keyboard step jog (with &lt;CTRL&gt; modifier).	鍵盤步進點動的距離 (with &lt;CTRL&gt; modifier).
1084	probingview	fld_offset	ToolTip	Distance from corner to probe	角點到探頭的距離
1384	probingview	lbl_latchDistance	None	Distance to retract for second slow probing move, set to 0 to skip	第二次緩慢探測移動的縮回距離，設置爲 0 以跳過
1700	steppercalibrationwizard	fld_distance	None	Distance:	Distance:
1455	libstrings	str_grblStateDoor	None	DOOR	安全門
1518	libstrings	str_msgDoorOpen	None	Door is open, close door and continue?	門打開，關上門並繼續嗎？
1540	jobview	str_msgDoorOpen	None	Door is open, close door and continue?	門打開，關上門並繼續嗎？
1539	jobview	str_msgDoorExit	None	Door is still open, exit?	門還開着,退出嗎？
1517	libstrings	str_msgDoorExit	None	Door is still open, exit?	門還開着，要退出嗎？
1519	libstrings	str_msgDoorPersist	None	Door state cannot be cleared with &lt;Reset&gt;	門狀態解除不能用&lt;復位&gt;
1541	jobview	str_msgDoorPersist	None	Door state cannot be cleared with &lt;Reset&gt;	門狀態解除不能用&lt;復位&gt;
1471	sdcardview	str_downloadAndRun	None	Download and run {0}?	下載並運行{0}？
1472	sdcardview	str_downloading	None	Downloading {0}...	正在下載{0}…
1054	dragknifedialog	dlg_dragKnife	Title	Drag knife parameters	拖刀參數
968	drocontrol	grp_dro	Label	DRO	工件座標
1418	libstrings	str_gcParserErrE	None	E word greater than half the drive line length	E字大於驅動線長度的一半
1258	signalscontrol	lbl_signalEStop	ToolTip	E-Stop	急停
1520	libstrings	str_msgEStop	None	E-Stop active! - clear before continuing...	急停已觸發！請先解除後再繼續...
1542	jobview	str_msgEStop	None	E-Stop active! - clear before continuing...	急停已觸發！請先解除後再繼續...
1543	jobview	str_msgEStopExit	None	E-Stop still active, exit?	急停仍然觸發，要退出嗎？
1521	libstrings	str_msgEStopExit	None	E-Stop still active, exit?	急停仍然觸發，要退出嗎？
1138	probingview	tab_edgeInternal	Label	Edge finder, external	尋邊器,外部
1137	probingview	tab_edgeExternal	Label	Edge finder, internal	尋邊器,內部
1610	edgefinderintcontrol	lbl_edgeoffsetxy	None	Edge offset:	Edge offset:
1611	edgefindercontrol	lbl_edgeoffsetxy	None	Edge offset:	Edge offset:
921	macroexecutecontrol	btn_edit	Button	Edit	編輯添加
1147	configcontrol	lbl_enable	CheckBox	Enable	使能
999	jogconfigcontrol	lbl_enable	CheckBox	Enable	使能
1026	trinamicview	lbl_stallGuardEnable	CheckBox	Enable filter (SFILT)	啓用過濾器 (SFILT)
1003	basicconfigcontrol	lbl_FilterOk	ToolTip	Enable if ok responses overwhelm console logging, typically happens when sending lots of short commands.	如果 ok 響應覆蓋了控制檯日誌記錄,則啓用,通常在發送大量短命令時發生。
1040	sdcardview	mnu_enableRewind	Menu	Enable rewind	啓用快退
1488	outlinebasecontrol	txt_line2	Text	Ensure tool tip is clear of any obstructions!	確保刀具不會碰到障礙物!! 
1561	errorsandalarms	tab_errors	Label	Error codes	錯誤代碼
1438	libstrings	str_gcParserRadiusErr	None	Error computing arc radius.	計算圓弧半徑時出錯。
1129	toollengthcontrol	lbl_setRefernecOffset	CheckBox	Establish reference offset	建立參考偏移
1487	outlinebasecontrol	txt_line1	Text	Execute moves to outline X and Y program limits.	執行動作,勾勒出程序X/Y的最大範圍。
1583	mainwindow	tab_facing	Label	Facing	面銑
1636	coolantcontrol	lbl_fan	None	Fan	風扇
1223	jogconfigcontrol	fld_fastDistance	None	Fast distance:	快速距離：
1224	jogconfigcontrol	fld_fastFeedrate	None	Fast feedrate:	快速進給速度：
922	jobcontrol	btn_feedHold	Button	Feed Hold	進給保持
1259	signalscontrol	lbl_signalFeedHold	ToolTip	Feed hold	進給保持
969	feedcontrol	grp_feedrate	Label	Feed rate	進給倍率
1481	jogbasecontrol	grp_jogFeedrate	Label	Feed rate	進給倍率
1127	probingview	lbl_searchFeed	ToolTip	Feed rate for initial probing move	初始探測移動的進給速率
1126	probingview	lbl_rapidsFeed	ToolTip	Feed rate for rapid moves, set to 0 to use controller setting	快速移動的進給速率,設置爲 0 以使用控制器設置
1113	probingview	lbl_latchFeed	ToolTip	Feed rate for second slow probing move	第二次緩慢探測移動的進給速率
1241	jobparametersdialog	fld_feedrate	None	Feed rate:	進給速率:
1001	outlineflyout	lbl_feedrate	None	Feed rate:	進給速度:
1484	outlinebasecontrol	lbl_feedrate	None	Feed rate:	進給速率:
1236	joguiconfigcontrol	lbl_feedrate0	None	Feedrate 0:	進給倍率 0:
1237	joguiconfigcontrol	lbl_feedrate1	None	Feedrate 1:	進給倍率 1:
1238	joguiconfigcontrol	lbl_feedrate2	None	Feedrate 2:	進給倍率 2:
1239	joguiconfigcontrol	lbl_feedrate3	None	Feedrate 3:	進給倍率 3:
1332	sdcardview	str_illegalName	None	File: {0}\\n!,?,~ and SPACE is not supported in filenames, please rename.	文件：{0}\\n!,?,~ 不支援空白於檔名中，請重命名。
1002	basicconfigcontrol	lbl_FilterOk	CheckBox	Filter &quot;ok&quot; response	過濾“ok” 回覆信息
1046	consolecontrol	label_filterRT	CheckBox	Filter out realtime responses	過濾掉實時回覆
1004	consolecontrol	lbl_filterRT	CheckBox	Filter out realtime responses	過濾掉實時回覆
1205	probingview	fld_fixture	None	Fixture:	夾具：
1637	coolantcontrol	lbl_flood	None	Flood	水冷
1429	libstrings	str_gcParserNoG0orG1	None	G0 or G1 not active	G0 或 G1 未激活
1419	libstrings	str_gcParserG1NoFeed	None	G1 used when feed rate is not set	未設定進給速度時使用G1
1420	libstrings	str_gcParserG6NoP	None	G4 - missing P word	G4 - 缺少 P 字
970	stripgcodeconfigcontrol	grp_gcodeStrip	Label	GCode command stripping	G代碼命令剝離
1391	libstrings	str_rotateG17G18Arcs	None	GCode contains arcs in XZ or YZ plane (G18/19), can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.	GCode contains arcs in XZ or YZ plane (G18/19), can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.
1360	libstrings	str_probingRadiusArcs	None	GCode contains arcs in XZ or YZ plane (G18/19), can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.	GCode contains arcs in XZ or YZ plane (G18/19), can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.
1392	libstrings	str_rotateRadiusArcs	None	GCode contains radius mode arcs, can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.	GCode contains radius mode arcs, can&apos;t apply transform. Use &apos;Arcs to Lines&apos; if you really need this.
1144	configcontrol	grp_gcodeViewer	Label	GCode Viewer	G代碼查看器
917	offsetview	btn_currPos	Button	Get current position	獲取當前位置
918	toolview	btn_currPos	Button	Get current position	獲取當前位置
1048	configcontrol	btn_getPosition	Button	Get current position	獲取當前位置
924	trinamicview	btn_getStatus	Button	Get status	獲取狀態
925	trinamicview	btn_getStatusAll	Button	Get status, all drivers	獲取所有驅動程序的狀態
926	outlineflyout	btn_go	Button	Go	Go
1476	outlinebasecontrol	btn_go	Button	Go	Go
1696	steppercalibrationwizard	btn_gopos	Button	Go+	Go+
1694	steppercalibrationwizard	btn_goneg	Button	Go-	Go-
1479	gotocontrol	grp_goto	Label	Goto	Goto
1477	gotobasecontrol	btn_gotoG28	Button	Goto position 1 (G28)	轉到位置 1 (G28)
1478	gotobasecontrol	btn_gotoG30	Button	Goto position 2 (G30)	轉到位置 2 (G30)
1183	mainwindow	tab_grbl	Label	Grbl	Grbl
1148	configcontrol	lbl_gridColor	Label	Grid color:	網格顏色：
1246	heightmapcontrol	grp_gridSize	Label	Gridsize	網格尺寸
1425	libstrings	str_gcParserNegH	None	H word is negative	H字負數
1212	heightmapcontrol	lbl_height	None	H:	H:
1139	probingview	tab_heightmap	Label	Height map	高度圖
1354	libstrings	str_probingHeigthMapNarrow	None	Height map can&apos;t be infinitely narrow.	高度圖不能無限窄。
1353	libstrings	str_probingHeigthMapMinSize	None	Height map must have at least 4 points.	高度圖必須至少有 4 個點。
1213	edgefindercontrol	lbl_height	None	Height:	高度:
1214	edgefinderintcontrol	lbl_height	None	Height:	高度:
1614	toollengthcontrol	lbl_height	None	Height:	高度:
1149	configcontrol	lbl_highlightColor	Label	Highlight color:	高亮顯示顏色：
1150	configcontrol	lbl_highlightCompleted	CheckBox	Highlight completed cuts	高亮顯示已完成的刀路
1456	libstrings	str_grblStateHold	None	HOLD	進給保持
1457	libstrings	str_grblStateHome	None	HOME	歸位
929	statuscontrol	btn_home	Button	Home	歸位
1522	libstrings	str_msgHome	None	Homing cycle required, &lt;Home&gt; to continue	需要歸位循環,&lt;歸位&gt;然後繼續
1544	jobview	str_msgHome	None	Homing cycle required, &lt;Home&gt; to continue	需要歸位循環,&lt;歸位&gt;然後繼續
1430	libstrings	str_gcParserNoIandorJ	None	I and/or J word missing	I 和/或 J 詞缺失
1442	libstrings	str_gcParserToolNoI	None	I word missing	I字缺失
1688	grblconfigcontrol	hdr_settingId	None	Id	Id
1458	libstrings	str_grblStateIdle	None	IDLE	空閒
1604	libstrings	str_gcParserM66BadParams	None	Illegal M66 parameters	Illegal M66 parameters
1553	libstrings	str_probingIllegalPosition	None	Illegal probe position, try again.	探頭位置非法,請重試。
1301	centerfindercontrol	str_centerFinderInitFailed	None	Init failed!	初始化失敗！
1569	configcontrol	chk_moveToSpindle	CheckBox	Inital move to spindle	初始移動到主軸
1383	probingview	fld_xyClearance	None	Initial distance away from face to probe	工件表面到探頭的初始距離
1416	libstrings	str_gcParserCMDInvalid	None	Invalid GCode	無效的 G 代碼
1396	libstrings	str_validateRange	None	Invalid input: allowed range is {0} - {1}.	輸入無效：允許的範圍爲 {0} - {1}.
1393	libstrings	str_validateMax	None	Invalid input: maximum allowed value is {0}.	輸入無效：允許的最大值爲 {0}.
1394	libstrings	str_validateMin	None	Invalid input: minimum allowed value is {0}.	輸入無效：允許的最小值爲 {0}.
1395	libstrings	str_validateNotIP4	None	Invalid input: not an IP4 address..	輸入無效：不是 IP4 地址。
1006	portdialog	lbl_ipAddress	Label	IP address:	IP地址:
1625	probingview	lbl_touchPlateXY	CheckBox	Is touch plate	Is touch plate
1443	libstrings	str_gcParserToolNoJ	None	J word missing	J字缺失
1426	libstrings	str_gcParserNegJ	None	J word negative	J字負數
1331	jobcontrol	str_g28g30	None	Job has G28/G30 moves and machine is not homed.	加工程序有 G28/G30 移動且機器未回零。
